title,price,rating_stars,availability
A Light in the Attic,£51.77,5,In stock
Tipping the Velvet,£53.74,1,In stock
Soumission,£50.10,1,In stock
Sharp Objects,£47.82,4,In stock
Sapiens: A Brief History of Humankind,£54.23,5,In stock
The Remains of the Day,£35.02,5,In stock
The Midnight Library,£29.99,4,In stock
Atomic Habits,£14.99,5,In stock
The Hitchhiker's Guide to the Galaxy,£12.49,5,In stock
1984,£10.99,5,In stock
To Kill a Mockingbird,£11.49,4,In stock
The Great Gatsby,£9.99,3,In stock
Brave New World,£13.49,3,In stock
The Alchemist,£16.99,4,In stock
Crime and Punishment,£8.99,2,In stock
